dist=  58.5 cm | feature=0.2856 | modelo=MEDIO ( 50%) | regra=MEDIO | OK   | concordancia=92.8% | 0 ms
dist=  58.9 cm | feature=0.2875 | modelo=MEDIO ( 50%) | regra=MEDIO | OK   | concordancia=92.9% | 0 ms
dist=  59.3 cm | feature=0.2895 | modelo=LONGE ( 56%) | regra=MEDIO | DIFF | concordancia=92.4% | 0 ms
dist=  59.7 cm | feature=0.2913 | modelo=LONGE ( 62%) | regra=MEDIO | DIFF | concordancia=92.0% | 0 ms
dist=  60.0 cm | feature=0.2930 | modelo=LONGE ( 62%) | regra=LONGE | OK   | concordancia=92.0% | 0 ms
dist=  60.3 cm | feature=0.2944 | modelo=LONGE ( 62%) | regra=LONGE | OK   | concordancia=92.1% | 0 ms
dist=  60.6 cm | feature=0.2961 | modelo=LONGE ( 73%) | regra=LONGE | OK   | concordancia=92.1% | 0 ms
dist=  61.0 cm | feature=0.2977 | modelo=LONGE ( 73%) | regra=LONGE | OK   | concordancia=92.1% | 0 ms
dist=  61.2 cm | feature=0.2988 | modelo=LONGE ( 73%) | regra=LONGE | OK   | concordancia=92.2% | 0 ms
dist=  61.2 cm | feature=0.2991 | modelo=LONGE ( 82%) | regra=LONGE | OK   | concordancia=92.2% | 0 ms
dist=  61.5 cm | feature=0.3007 | modelo=LONGE ( 82%) | regra=LONGE | OK   | concordancia=92.2% | 0 ms
